molecule_chembl_id,canonical_smiles,standard_value,standard_units,MOLECULAR WEIGHT,PSA,logP,HBA,HBD
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,4897788193684.46,nM,438.5970000000003,98.89999999999999,5.483400000000005,6.0,2.0
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,4897788193684.46,nM,401.87500000000006,84.34,4.667120000000002,6.0,2.0
CHEMBL210632,COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1,16595869074375.6,nM,434.4770000000002,125.19999999999999,3.662880000000002,8.0,2.0
CHEMBL210497,COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1,24547089156850.3,nM,471.5200000000002,168.29,2.10768,9.0,3.0
CHEMBL208584,CCCc1cc(O)nc(SCC(=O)Nc2ccc(Cl)cc2)n1,33113112148259.1,nM,337.83200000000005,75.11000000000001,3.518900000000002,5.0,2.0
CHEMBL208763,O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1,66069344800759.7,nM,422.89700000000005,80.91,5.182800000000002,6.0,1.0
CHEMBL209227,Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1,70794578438413.7,nM,460.00900000000007,80.66,5.416220000000003,8.0,1.0
CHEMBL213581,Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,6000.0,nM,284.728,111.96,1.1272000000000004,6.0,2.0
CHEMBL380403,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1,12000.0,nM,365.716,77.28,4.099800000000001,4.0,0.0
CHEMBL212504,Cc1nc(S(=O)(=O)c2ccccc2)c(C#N)c(C)c1[N+](=O)[O-],13000.0,nM,317.3260000000001,113.96000000000001,2.3111200000000007,6.0,0.0
CHEMBL211969,Cc1ccc(S(=O)(=O)c2nc(C)c([N+](=O)[O-])c(C)c2C#N)cc1,13000.0,nM,331.35300000000007,113.96000000000001,2.6195400000000006,6.0,0.0
CHEMBL384739,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1,15000.0,nM,314.706,104.22,1.7143999999999997,5.0,0.0
CHEMBL215732,CCOC(=O)/C(C#N)=C/Nc1ccc(S(=O)(=O)c2ccc(/N=C/C(C#N)=C(\O)OCC)cc2)cc1,16000.0,nM,494.5290000000002,161.86999999999998,3.933860000000003,10.0,2.0
CHEMBL212240,O=C(O)c1ccc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1,16000.0,nM,436.07700000000006,91.67,3.448200000000001,4.0,2.0
CHEMBL377253,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,16000.0,nM,304.32300000000004,88.51,2.4202000000000004,4.0,1.0
CHEMBL215397,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,25000.0,nM,308.271,120.42000000000002,2.3358,6.0,0.0
CHEMBL379642,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,3000.0,nM,363.3200000000001,71.78,3.748800000000002,5.0,1.0
CHEMBL427404,Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-],5000.0,nM,401.3260000000001,116.09000000000003,3.6243200000000018,8.0,1.0
CHEMBL212190,Cc1oc(C(C)(C)C)cc1-c1cc(NS(=O)(=O)c2cccs2)[nH]n1,10000.0,nM,365.48,87.99,4.137920000000002,5.0,2.0
CHEMBL378700,CSc1[nH]nc(NC(=O)c2cccs2)c1S(=O)(=O)c1ccccc1,15000.0,nM,379.4880000000001,91.91999999999999,3.278200000000001,6.0,2.0
CHEMBL212019,CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,16000.0,nM,300.3830000000001,66.03,3.979980000000003,5.0,1.0
CHEMBL212399,CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N,18000.0,nM,360.42400000000004,102.57,3.1445000000000016,9.0,0.0
CHEMBL215733,O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1.[Br-],18000.0,nM,442.83400000000006,49.93,1.7786,4.0,1.0
CHEMBL375130,Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],20000.0,nM,334.4260000000001,72.99,4.038820000000003,7.0,1.0
CHEMBL214372,O=C(Cc1nccs1)c1nccs1,40000.0,nM,210.28300000000002,42.85,2.025,5.0,0.0
CHEMBL212218,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,300.0,nM,459.1850000000002,120.42000000000002,4.969820000000001,6.0,0.0
CHEMBL222840,O=C(Oc1cncc(Cl)c1)c1ccco1,60.0,nM,223.615,52.33,2.5472,4.0,0.0
CHEMBL222769,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,63.0,nM,334.158,52.33,4.867600000000002,4.0,0.0
CHEMBL222735,COc1cccc(C(=O)Oc2cncc(Cl)c2)c1,340.0,nM,263.68,48.42,2.9628000000000014,4.0,0.0
CHEMBL222628,O=C(Oc1cncc(Cl)c1)c1cscn1,270.0,nM,240.67100000000002,52.08,2.4107000000000003,5.0,0.0
CHEMBL222893,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,95.0,nM,289.74300000000005,39.19,4.168900000000002,4.0,0.0
CHEMBL225515,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,65.0,nM,272.69100000000003,54.98,3.435500000000001,3.0,1.0
CHEMBL222234,O=C(Oc1cncc(Br)c1)c1ccco1,50.0,nM,268.066,52.33,2.6563000000000008,4.0,0.0
CHEMBL426898,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2o1,170.0,nM,273.67500000000007,52.33,3.700400000000002,4.0,0.0
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,89100.0,nM,294.35,47.28,4.247920000000003,3.0,0.0
CHEMBL215254,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,24800.0,nM,310.34900000000005,67.51,3.2203200000000023,4.0,1.0
CHEMBL2146517,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,21100.0,nM,338.3590000000001,73.58000000000001,3.4010200000000026,5.0,0.0
CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,226700.0,nM,296.366,43.370000000000005,3.4433000000000025,3.0,0.0
CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,38700.0,nM,276.291,47.28,4.095640000000003,3.0,0.0
CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,14400.0,nM,278.307,43.370000000000005,3.2910200000000023,3.0,0.0
CHEMBL45830,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,21100.0,nM,282.3829999999999,34.14,4.105300000000004,2.0,0.0
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,5400.0,nM,297.31,86.63,3.007900000000002,4.0,3.0
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,11000.0,nM,331.755,86.63,3.6613000000000016,4.0,3.0
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,13600.0,nM,332.73900000000003,83.83,3.6282000000000023,4.0,2.0
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,28700.0,nM,332.73900000000003,83.83,3.6282000000000023,4.0,2.0
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,39900.0,nM,298.294,83.83,2.974800000000002,4.0,2.0
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,50000.0,nM,332.73900000000003,83.83,3.6282000000000023,4.0,2.0
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,50000.0,nM,298.294,83.83,2.974800000000002,4.0,2.0
